home_team,home total goals
Brazil,1632
Germany,1422
England,1405
Argentina,1402
South Korea,1329
Mexico,1315
Sweden,1300
Hungary,1189
Netherlands,1179
Malaysia,1153
Egypt,1120
France,1112
Japan,1110
Italy,1056
Thailand,1036
Denmark,1023
Spain,993
Indonesia,991
China,988
Uruguay,983
Czechia,982
Belgium,976
Saudi Arabia,963
Costa Rica,936
Iran,934
Poland,907
Trinidad and Tobago,904
Austria,898
United States of America,878
Kuwait,868
Serbia,854
Iraq,853
Australia,842
Chile,838
Zambia,823
Portugal,810
Scotland,803
Switzerland,798
Morocco,774
Ghana,756
Norway,749
Uganda,749
Romania,741
Russia,736
Ivory Coast,734
Singapore,730
Tunisia,716
Algeria,714
Qatar,709
Nigeria,699
Kenya,675
Myanmar,648
United Arab Emirates,648
El Salvador,627
Honduras,622
Ireland,620
Vietnam,614
Haiti,612
Senegal,604
Guatemala,602
Cameroon,602
Suriname,596
Jamaica,593
Bulgaria,588
New Caledonia,587
Paraguay,568
Peru,562
Hong Kong,557
Cura‡ao,556
Tahiti,556
Bahrain,547
India,541
Finland,537
Oman,537
Fiji,533
Turkey,517
Israel,516
Malawi,515
Wales,510
Colombia,510
Mali,504
Syria,500
Guinea,496
DR Congo,476
Greece,473
Martinique,471
Congo,458
Ethiopia,446
Tanzania,444
Jordan,444
Libya,443
Ecuador,439
North Korea,435
Cuba,432
Zimbabwe,423
New Zealand,421
Panama,419
South Africa,414
Uzbekistan,408
Croatia,400
Sudan,398
Canada,382
Burkina Faso,369
Northern Ireland,365
Bolivia,360
Solomon Islands,359
Guyana,356
Gabon,335
Guadeloupe,334
Lebanon,333
Angola,327
Iceland,320
Togo,315
Grenada,305
Venezuela,305
St Vincent & Grenadines,298
Barbados,295
Madagascar,295
Estonia,286
Taiwan,283
Latvia,279
Saint Kitts and Nevis,279
East Germany,278
Mauritius,266
Slovakia,266
Vanuatu,265
Antigua and Barbuda,263
Philippines,254
Ukraine,254
Cyprus,251
Papua New Guinea,243
Mozambique,236
Albania,234
Bermuda,227
Georgia,224
Benin,221
Slovenia,221
Lithuania,213
Cambodia,213
Maldives,209
Rwanda,206
North Macedonia,204
Bangladesh,203
Saint Lucia,201
Malta,198
Palestine,195
Bosnia and Herzegovina,192
Sierra Leone,191
Aruba,189
Botswana,189
Luxembourg,183
Liberia,183
Dominican Republic,183
French Guiana,182
Gambia,181
Nepal,178
Turkmenistan,173
Namibia,171
Tajikistan,171
Niger,170
Reunion,168
Kazakhstan,167
Cape Verde,162
Belarus,160
Dominica,159
Pakistan,159
Yemen,159
Burundi,157
Armenia,154
Sri Lanka,152
Azerbaijan,143
Eswatini,142
Laos,135
Guinea-Bissau,128
Lesotho,128
Puerto Rico,127
Kyrgyzstan,126
Nicaragua,116
Mauritania,116
Moldova,114
Faroe Islands,113
Equatorial Guinea,103
Montenegro,102
Chad,98
Afghanistan,97
Macao,96
Zanzibar,93
Central African Republic,89
Guam,89
Kosovo,83
Seychelles,78
Comoros,77
Cayman Islands,75
Belize,72
British Virgin Islands,67
Samoa,66
Mongolia,64
Brunei,61
Saint Martin,60
Bahamas,56
Sint Maarten,52
Tonga,51
Liechtenstein,50
Gibraltar,42
Bonaire,40
North Vietnam,36
Andorra,36
Tuvalu,35
Montserrat,34
Eritrea,32
Bhutan,32
Somalia,29
Cook Islands,29
Djibouti,28
Turks and Caicos Islands,27
Anguilla,25
Mayotte,25
South Sudan,25
SÆo Tom‚ and Pr¡ncipe,23
East Timor,23
Saint Barthelemy,22
San Marino,18
US Virgin Islands,17
Wallis and Futuna,16
Western Samoa,14
Northern Mariana Islands,14
Northern Cyprus,13
Saar,8
American Samoa,8
Greenland,7
North Yemen,7
FS Micronesia,7
Kiribati,3
Palau,3
Kurdistan,3
