Minute,Count
1,193
2,333
3,319
4,341
5,382
6,346
7,389
8,418
9,347
10,428
11,409
12,416
13,377
14,411
15,455
16,410
17,385
18,451
19,404
20,454
21,366
22,408
23,415
24,372
25,457
26,439
27,411
28,430
29,437
30,491
31,420
32,419
33,399
34,450
35,480
36,394
37,453
38,462
39,412
40,476
41,399
42,459
43,495
44,537
45,894
46,288
47,432
48,445
49,451
50,522
51,489
52,517
53,494
54,482
55,563
56,441
57,511
58,473
59,463
60,548
61,459
62,511
63,488
64,423
65,575
66,466
67,491
68,468
69,421
70,520
71,461
72,505
73,504
74,444
75,596
76,449
77,478
78,512
79,477
80,574
81,523
82,515
83,539
84,501
85,587
86,507
87,523
88,600
89,676
90,1735
91,4
92,10
93,17
94,6
95,6
96,4
97,12
98,8
99,3
100,9
101,9
102,7
103,11
104,10
105,14
106,4
107,4
108,6
109,9
110,9
111,7
112,7
113,3
114,10
115,7
116,7
117,7
118,9
119,8
120,11
121,0
122,1
